signal_name,total_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio
SMA_CROSS|close|5|150,138.83385660868933,0.6424737963122428,0.8721869527406954,0.6389451308181855
SMA_CROSS|open|5|150,138.34368748953528,0.6352671692649022,0.8639580947197103,0.6510046457804458
SMA_CROSS|close|20|150,133.41457502354137,0.5617074117920311,0.7643680442629341,0.5283809798722517
SMA_CROSS|open|10|150,133.01389145781766,0.5556384116348949,0.7543212088966365,0.46853487632704394
SMA_CROSS|close|10|150,132.7969906546088,0.5523473546500023,0.7497822770842837,0.4929502362781915
SMA_CROSS|open|20|150,129.20422958680257,0.4972360505150684,0.6768263444182099,0.41797706675436164
SMA|low|14|15,126.8460521484174,0.46043223171035413,0.6720422492863132,0.3395868248968286
SMA|open|12|20,123.58719311319336,0.40871392965590314,0.5931465431031802,0.25498164630633147
MACD|close|12|26|9,123.46728439287342,0.4067914771331272,0.5775339052174367,0.3733369184602189
SMA|close|12|20,122.99717180340082,0.3992407199603638,0.576817632728415,0.20351555002477942
MR|high|30|2.0|0.5,101.41947197141563,0.3360828813692422,0.5182282310241019,0.2985628873193667
SMA|close|4|50,118.76339771803455,0.33024067056903134,0.4434272749147534,0.27568844620123656
SMA|close|14|20,117.7340592306166,0.31318552814965356,0.4523153656548157,0.15863916688897528
SMA|low|12|20,117.00209100255611,0.30098906154321864,0.43253765050184945,0.1480617496571463
RSI|high|21,116.58276482032468,0.2939760882760285,0.4144268996109892,0.16548965877667046
SMA_CROSS|open|20|100,116.27856747357302,0.2888766892848193,0.3893994884513585,0.27579150042912093
SMA|close|4|45,116.18541431211646,0.28731310320293646,0.38560941968661494,0.23799545146145032
SMA|close|14|15,115.85900691344673,0.2818268285562198,0.4110262011216572,0.15701108713285658
SMA|close|4|40,115.42260112384017,0.27447352248689794,0.3677585228129322,0.23797902236386004
SMA|close|4|35,114.33877995949908,0.25612033753609287,0.3410811031375786,0.24614482193119677
SMA|open|10|15,114.24319284235773,0.2544953860959139,0.36161608597410577,0.11957344355770623
SMA_CROSS|close|20|100,113.29502226492674,0.23832121571342246,0.3210725315651272,0.2486085939134434
SMA|close|4|15,112.65326628922277,0.2273159543741119,0.3036715358275232,0.1538862568497058
MACD|high|12|26|9,112.51996645174145,0.22502410127799466,0.316963029097569,0.13500014446686556
SMA|high|14|15,112.2103134090524,0.21969228966439489,0.3174907234723458,0.13044501867302483
EMA|close|15|100,111.96118178717134,0.21539453396664823,0.29033255900675414,0.16240846289213876
SMA|high|16|55,111.80983009931057,0.21278004462594258,0.28753891900116196,0.1726260998188905
SMA|low|14|20,111.3280703305698,0.2044401848129849,0.2945135473376816,0.0958405151175642
EMA|close|5|20,110.9989800163673,0.1987275909865154,0.2661378380337928,0.13593071078099878
SMA|low|10|20,110.9436347738971,0.1977655999413824,0.28152410676001266,0.10277914212539385
SMA|open|10|20,110.64492753268924,0.19256738591634917,0.27242862319413963,0.08448968024250958
SMA|open|4|45,110.60535373818519,0.19187792482920452,0.2569700293781116,0.13892169603814292
SMA|high|14|55,109.78427461694776,0.17753059826191048,0.24011135251202123,0.1434049081128391
SMA|close|12|15,109.72288321786678,0.17645460493103937,0.2536725560992377,0.11051229104661431
SMA_CROSS|close|5|50,109.63947605545195,0.1749920408765807,0.23432092951341849,0.1536432622261236
SMA_CROSS|close|5|100,109.44514294164274,0.17158108485461931,0.23089227698827156,0.11627417703045702
EMA|open|15|100,109.28035522503453,0.1686851334119048,0.2271725934993156,0.1350155683266221
SMA|low|16|60,109.19374679346564,0.16716177136904845,0.22558069610324447,0.11512507919044895
SMA|close|4|55,108.58621240577236,0.1564501164436708,0.20927321427015064,0.1150132790328807
SMA|low|4|45,108.3321501464385,0.1519572519003208,0.2030685295283814,0.10061066947341982
SMA|open|4|40,108.04540439382654,0.14687685507502096,0.19677635023936382,0.10956593907035915
SMA|high|12|20,107.99321282300376,0.1459510609747924,0.1982835143940477,0.09581701859785169
EMA|high|15|100,107.91368847407354,0.1445397796901146,0.19459816212545736,0.1004872792567586
EMA|low|15|100,107.8504616143201,0.14341716235204718,0.19317211354642413,0.11094283165453915
SMA|high|16|60,107.79575031875746,0.14244534164443362,0.19177721220957603,0.09659773093434967
MACD|low|12|26|9,107.53315637110326,0.13777577295060117,0.19472070614850273,0.11118658986236805
EMA|low|5|20,107.13582037031868,0.13069379651134513,0.17602976222806327,0.0734022251781666
SMA|close|16|60,106.84949651240005,0.12557816918333525,0.16909414287414565,0.08643590870946176
SMA|close|8|40,106.65586566847468,0.12211278654313354,0.16413900581233262,0.07943327855909689
EMA|low|5|50,106.63401314515761,0.12172139733516382,0.1631865992976532,0.10127000464839804
RSI|low|14,106.52747770461201,0.11981242498025357,0.16654681514541939,0.07076310202061759
SMA|high|14|60,106.52536898735401,0.11977462958966714,0.16157940896077974,0.08383361571984814
SMA|high|14|35,106.1508661659237,0.11305250921239857,0.15267776825732055,0.09666902108260325
EMA|close|10|100,106.03683926946721,0.11100223758653897,0.14960136688941428,0.08855719705436993
SMA|high|12|15,105.7980598480831,0.10670344467590877,0.15342355465507987,0.06304446972311466
SMA|low|4|50,105.53814617403694,0.10201585137778116,0.13632626508322998,0.06792700996167571
MR|open|30|2.0|0.5,100.32138304215448,0.10170594229145224,0.14380851509235484,0.05156940012030634
SMA|low|16|35,105.4549437147523,0.1005134379591997,0.13569377631376767,0.09497560211935957
SMA|open|14|60,105.29897669309301,0.0976946815499226,0.1317071949042298,0.06266678639168062
EMA|close|10|20,105.23858919690514,0.0966024665964736,0.12914779503733212,0.06475573018486168
