signal_name,total_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio
SMA|low|14|15,125.97662216100495,0.44280180682713766,0.6459160946178363,0.3248366527155734
SMA|close|12|20,123.35294836989124,0.4014079116934553,0.579838559467184,0.20351467329488973
SMA|close|4|50,118.30510007570965,0.3198560054822966,0.4294173359847522,0.26559012076143906
SMA|close|14|20,118.05950921681516,0.3158215879228123,0.45604499444528707,0.15911010166335288
SMA|low|12|20,116.49045107783833,0.28989517847415175,0.4164557465019762,0.1418346509448632
SMA|close|4|40,116.04947406535697,0.2825611363490224,0.37860234572335777,0.24367919557098167
SMA|close|4|45,115.73706488396935,0.27735255705004014,0.3721843854983701,0.22851497420180958
SMA|close|4|35,115.48152812298092,0.273084254018096,0.36373622019245244,0.2699087085411582
SMA|close|14|15,114.06879980631315,0.24935711991849013,0.3633840638920799,0.1381785825221208
SMA|close|4|15,112.6101648551161,0.2246244115495847,0.30004389263045467,0.151250043123946
SMA|high|14|15,112.3167454937466,0.2196198844815895,0.3172597051716366,0.12970382942790254
SMA|low|14|20,111.91124163712169,0.21268735886990175,0.30641506058262746,0.0991684577016405
SMA|low|10|20,111.3952825625636,0.2038389310217759,0.2901353741631964,0.10536289198593224
SMA|high|16|55,111.03585689852238,0.19765662286850233,0.26709126329870014,0.15949840894325032
SMA|close|12|15,108.98129929454183,0.16202318840208757,0.23280477961730592,0.10093086958544749
SMA|high|14|55,108.75305679222002,0.15803333466048783,0.21372846556742928,0.12697231477371151
SMA|low|4|45,107.7100973122004,0.1397204451773284,0.18668785729002668,0.09201351779088708
SMA|close|4|55,107.52752239291713,0.1365008890071964,0.18255624583196745,0.09981068460076492
SMA|close|8|40,107.43388743922378,0.13484810817724296,0.181293707529933,0.08724771349330998
SMA|low|16|60,107.37813703428172,0.1338635214919515,0.18057816426799797,0.09169916744639636
SMA|high|12|20,106.51251747641382,0.11852623469186557,0.16095897063276388,0.07739095996792332
SMA|high|16|60,106.20485681134994,0.1130522756793084,0.15215154225083252,0.07625490665278757
SMA|high|14|35,105.80503198912254,0.10592053612799707,0.14306460913460453,0.09008573558219868
SMA|high|12|15,105.49275170158636,0.10033612591584756,0.1441983863406335,0.058965038477568954
SMA|high|10|20,105.3006238539877,0.09689414476325074,0.13042309502974225,0.04886572983134687
SMA|close|16|60,105.27256820336592,0.09639112767479173,0.12974762255912872,0.06599131797846335
SMA|close|6|45,105.24866710365744,0.0959625185736915,0.1283163946853845,0.07010538052213511
SMA|high|14|60,104.9283006972433,0.09021038123915619,0.12165290113565995,0.0628028770395831
SMA|low|4|50,104.79564370573107,0.08782464662312511,0.11734398002001308,0.05816480056699747
SMA|high|16|35,104.7369916310952,0.08676910430057033,0.11698283336726217,0.059052249930528586
SMA|high|4|50,104.20187275138022,0.07711800423232527,0.10302468400096478,0.04936049243921401
SMA|low|16|35,103.700243732762,0.06803675036720074,0.09182711296457902,0.06394419289908383
SMA|low|16|55,103.53072141183249,0.06496027482837152,0.08737310138898581,0.047172643149206585
SMA|high|6|45,103.32598862692804,0.06123971078860067,0.08193146762532214,0.036786747995345176
SMA|close|6|50,103.13413559111476,0.05774813464802278,0.07739420912057547,0.034432441860727206
SMA|high|12|60,102.84326349590869,0.05244509013177908,0.07073220597073966,0.03819633896589575
SMA|close|10|20,102.55418560512051,0.04716348543544251,0.06322296612073075,0.02351154373423434
SMA|close|18|35,102.43978745843225,0.04507025570039295,0.060831824334405614,0.03030456484600753
SMA|high|4|40,102.26808545448978,0.04192516711633545,0.05576091580970455,0.02793999149075408
SMA|low|14|35,101.9611332113731,0.0362926976384296,0.048904470330639015,0.031268491395499844
SMA|close|14|60,101.63040839272293,0.030209611369388736,0.04067244261703358,0.017915493353924776
SMA|high|6|50,101.48786204675237,0.02758310194114802,0.03698122704936133,0.0206214056748414
SMA|close|8|45,101.44082475922711,0.026715795819016,0.03583180099279209,0.01826668307808599
SMA|low|8|40,101.41675846111178,0.026271926872177314,0.035299405718008735,0.01655484319535929
SMA|low|14|60,101.29141979548903,0.023958940674382947,0.03226929540392343,0.015338099541553645
SMA|close|16|55,101.26401255748598,0.02345288152040757,0.03153331557519218,0.01764693389290046
SMA|high|4|45,101.20895949900866,0.022436044211764695,0.029962973032530885,0.013847417670401653
SMA|close|4|10,100.98728597876972,0.018337458199562603,0.024328812464583998,0.01035513434132927
SMA|close|14|35,100.92555300246427,0.017194845707383676,0.0231996446131931,0.011807878572827023
SMA|low|18|60,100.61647467024048,0.011466153588551428,0.01540552368152449,0.008898341832801618
SMA|close|20|55,100.5939613515508,0.011048353868908158,0.014846720628172097,0.007666272247766438
SMA|high|12|35,100.49017717042419,0.009121421552083425,0.012259095800221166,0.005390494384611521
SMA|low|12|50,100.40969828492882,0.007626153802084977,0.010278333364186269,0.006446849515617892
SMA|low|20|55,100.38096722947967,0.007092121486674053,0.009524613050550948,0.004382315913475466
SMA|high|18|35,100.2568992345916,0.004784703300363708,0.006437634209767221,0.003960181891496263
SMA|close|4|60,100.04827791424336,0.0008998779349348156,0.0012037619828503998,0.0006172576484189951
SMA|low|8|45,99.85891079440164,-0.002631725819893071,-0.0035308902393440694,-0.001747099093588014
SMA|high|4|35,99.8196877083312,-0.003363851516417555,-0.004458115955377759,-0.0023187559994409875
SMA|low|14|55,99.60920357370775,-0.007296410236584188,-0.009823631801973225,-0.0048383522188346455
SMA|low|4|40,99.4754374116356,-0.009798890735476611,-0.013068650924070746,-0.006698461908685192
SMA|close|18|55,99.24811669831867,-0.014057433892308752,-0.018872922268747205,-0.010540585238463804
